A,B,C,D,Date,E,F,G,GeoID,H,I,J,K,L,M,N,O,P,R,S,SUMLEV,T,U,date,state,county
20852,727,3680.0,79883.0,Apr_12_2020,20852.0,1672,8.72,17,6.6,9576,84.92,20806,45230.43,444,156.89,727,,0.16,0.01,states,162.63,5.67,2020-04-12,Illinois,
2860,113,282.0,21775.0,Apr_12_2020,2836.0,140,5.15,32,1.8,980,52.13,2841,14952.63,67,145.65,113,,0.1,0.0,states,97.85,3.87,2020-04-12,Nevada,
270,6,,7766.0,Apr_12_2020,272.0,15,5.88,02,0.0,87,47.54,269,26900.0,2,50.0,6,,0.04,0.0,states,36.56,0.81,2020-04-12,Alaska,
2305,18,,41931.0,Apr_12_2020,2303.0,97,4.39,49,0.0,687,42.46,2298,32828.57,10,125.0,18,,0.08,0.0,states,75.69,0.59,2020-04-12,Utah,
985,23,,9996.0,Apr_12_2020,929.0,56,6.03,33,0.0,316,47.23,978,13971.43,14,155.56,23,,0.07,0.0,states,73.31,1.71,2020-04-12,New Hampshire,
5273,141,751.0,34711.0,Apr_12_2020,5274.0,197,3.88,51,8.46,2637,100.04,5243,17476.67,89,171.15,141,,0.06,0.0,states,62.67,1.68,2020-04-12,Virginia,
25475,756,2514.0,91463.0,Apr_12_2020,25381.0,2615,11.44,25,10.2,12975,103.8,25352,20611.38,525,227.27,756,,0.37,0.01,states,372.98,11.07,2020-04-12,Massachusetts,
20595,840,2084.0,83450.0,Apr_12_2020,20595.0,581,2.9,22,4.22,7581,58.25,20559,57108.33,363,76.1,840,,0.44,0.02,states,441.61,18.01,2020-04-12,Louisiana,
805,18,,9900.0,Apr_12_2020,791.0,87,12.12,31,0.0,428,113.53,778,2881.48,10,125.0,18,,0.04,0.0,states,42.26,0.95,2020-04-12,Nebraska,
633,19,,6088.0,Apr_12_2020,633.0,17,2.76,23,0.0,163,34.68,631,31550.0,9,90.0,19,,0.05,0.0,states,47.49,1.43,2020-04-12,Maine,
308,8,12.0,10042.0,Apr_12_2020,308.0,15,5.12,38,14.29,101,48.79,307,30700.0,5,166.67,8,,0.04,0.0,states,40.95,1.06,2020-04-12,North Dakota,
6605,253,,56639.0,Apr_12_2020,6604.0,354,5.66,39,2.43,2562,63.37,6592,50707.69,134,112.61,253,,0.06,0.0,states,56.73,2.17,2020-04-12,Ohio,
10414,511,642.0,120218.0,Apr_12_2020,11775.0,187,1.83,53,2.61,2429,30.42,9903,1937.96,167,48.55,474,1281.08,0.14,0.01,states,142.77,7.01,2020-04-12,Washington,
5144,107,324.0,65369.0,Apr_12_2020,5308.0,161,3.23,47,0.0,1606,45.39,5118,19684.62,57,114.0,107,,0.08,0.0,states,77.34,1.61,2020-04-12,Tennessee,
1587,41,129.0,16005.0,Apr_12_2020,1587.0,77,5.1,19,20.59,719,82.83,1570,9235.29,19,86.36,41,,0.05,0.0,states,50.66,1.31,2020-04-12,Iowa,
8225,236,,41539.0,Apr_12_2020,8225.0,531,6.9,24,14.01,4616,127.9,8207,45594.44,168,247.06,236,,0.14,0.0,states,137.0,3.93,2020-04-12,Maryland,
4160,116,988.0,41040.0,Apr_12_2020,4160.0,136,3.38,29,0.0,1793,75.75,4156,103900.0,64,123.08,116,,0.07,0.0,states,68.31,1.9,2020-04-12,Missouri,
61850,2350,7604.0,64885.0,Apr_12_2020,61850.0,3699,6.36,34,7.65,24345,64.91,61800,123600.0,1433,156.27,2349,234900.0,0.7,0.03,states,696.36,26.46,2020-04-12,New Jersey,
497,9,,17482.0,Apr_12_2020,486.0,13,2.69,15,12.5,128,34.69,495,24750.0,5,125.0,9,,0.03,0.0,states,34.95,0.63,2020-04-12,Hawaii,
387,6,22.0,8526.0,Apr_12_2020,387.0,10,2.65,30,0.0,89,29.87,383,9575.0,0,0.0,6,,0.04,0.0,states,37.15,0.58,2020-04-12,Montana,
